step,norm_score,mean_reward,elapsed_s,critic_loss,actor_loss
225000,62.81320911024899,7518.193364159512,1123.7819261550903,25.040592193603516,-2.445380210876465
230000,62.99947030354522,7541.318024627233,1148.6632370948792,20.210472106933594,-2.4466445446014404
235000,62.60460315164713,7492.29456109247,1173.5940999984741,21.411266326904297,-2.452787160873413
240000,61.92007484573,7407.309146928918,1198.598433971405,19.52882957458496,-2.4381186962127686
245000,62.53113618852056,7483.173506148972,1223.5841789245605,96.05439758300781,-2.460456132888794
250000,62.760010693893584,7511.588685568827,1248.495129108429,26.276222229003906,-2.450690507888794
255000,62.61614413838173,7493.727395248512,1273.4483470916748,26.5057373046875,-2.447592258453369
260000,62.285707893702316,7452.703144145989,1298.3573412895203,18.868061065673828,-2.450082778930664
265000,61.93487694058339,7409.146853493761,1323.3419110774994,19.989423751831055,-2.4469172954559326
270000,62.720590210415786,7506.694562000919,1348.2731561660767,33.202239990234375,-2.460552215576172
275000,62.65269633831909,7498.265416281994,1373.274892091751,22.440404891967773,-2.430111885070801
280000,62.82054236040848,7519.103800289884,1398.298679113388,22.75579833984375,-2.454272985458374
285000,62.79002881348574,7515.315488834518,1423.2439370155334,43.183509826660156,-2.4497342109680176
290000,63.154355932748885,7560.547352665347,1448.2067160606384,33.30584716796875,-2.449010133743286
295000,62.4836951751355,7477.2836194401,1473.2527101039886,27.159400939941406,-2.45210599899292
300000,63.44569749147359,7596.717928545479,1498.2585091590881,28.75341033935547,-2.452220916748047
305000,63.06436579529212,7549.374916060039,1523.208995103836,29.326221466064453,-2.4595882892608643
310000,62.790349905469526,7515.355352978908,1548.1482090950012,25.8067684173584,-2.4502997398376465
315000,63.029017721800685,7544.986389479639,1573.1482920646667,23.179609298706055,-2.452538013458252
320000,62.68404820900748,7502.157807133071,1598.1664271354675,35.70286560058594,-2.440972089767456
325000,62.844709733932106,7522.104222961081,1623.0972170829773,23.59059715270996,-2.446924924850464
330000,62.77140883864261,7513.003785636739,1648.1212270259857,18.65926170349121,-2.4448494911193848
335000,63.34010747468819,7583.608739005069,1673.0845732688904,52.939056396484375,-2.4550411701202393
340000,63.15540695795987,7560.677839326132,1698.061294078827,19.6632080078125,-2.446566343307495
345000,62.829286367328805,7520.189384396705,1723.0410659313202,29.81150245666504,-2.453679323196411
350000,62.43733420065407,7471.527821493875,1747.9068112373352,38.52886962890625,-2.445730209350586
